;country;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec
0;afghanistan;7.976923076923078;10.126923076923077;15.546153846153844;21.71923076923077;27.846153846153843;33.676923076923075;35.223076923076924;33.857692307692304;29.87307692307692;23.523076923076925;16.27307692307692;10.234615384615385
1;albania;9.6875;10.637500000000001;12.462499999999999;16.5125;20.887500000000003;25.575000000000003;29.0625;29.5625;25.200000000000003;20.137500000000003;14.6625;11.3
2;algeria;14.69157894736842;16.334736842105265;18.83157894736843;21.93052631578947;25.78421052631578;30.475789473684205;34.2;33.9463157894737;30.493684210526318;25.016842105263162;19.457894736842114;15.521052631578938
3;american samoa;30.7;30.842857142857145;26.5;30.728571428571428;23.528571428571432;23.2;29.571428571428573;29.714285714285715;30.014285714285712;30.11428571428571;30.02857142857143;30.614285714285717
4;andorra;2.3;2.8;5.4;7.5;11.7;15.95;20.15;19.6;16.7;11.7;5.95;3.05
5;angola;27.583333333333336;27.81111111111111;28.044444444444444;27.866666666666667;27.46666666666667;25.938888888888886;25.694444444444446;27.072222222222223;28.31111111111111;28.41111111111111;27.805555555555557;27.299999999999997
6;anguilla;27.9;27.9;28.45;28.45;30.0;31.05;31.05;31.05;31.05;30.55;29.5;28.45
7;antarctica;-3.4285714285714284;-7.5249999999999995;-13.446428571428573;-16.685714285714287;-19.20357142857143;-20.910714285714285;-21.717857142857145;-22.560714285714283;-20.485714285714284;-15.346428571428573;-7.789285714285714;-3.7857142857142856
8;antigua and barbuda;27.169230769230765;27.169230769230765;27.169230769230765;27.830769230769235;28.838461538461534;29.923076923076923;30.0;30.0;30.0;28.992307692307687;27.830769230769235;27.169230769230765
9;argentina;29.62086956521736;28.509565217391323;26.088260869565215;22.46173913043477;18.836956521739136;15.563043478260868;15.65782608695652;17.930000000000007;20.287826086956517;23.506521739130438;26.306086956521742;28.598695652173898
10;armenia;0.07142857142857142;1.9142857142857146;6.971428571428571;14.057142857142855;19.2;23.2;26.7;26.642857142857146;22.942857142857143;16.72857142857143;9.214285714285714;2.957142857142857
11;aruba;28.909090909090903;29.90909090909091;30.0;30.0;31.090909090909097;31.090909090909097;31.090909090909097;31.090909090909097;31.090909090909097;31.090909090909097;30.0;28.909090909090903
12;ascension island;27.0;28.0;29.0;29.0;28.0;27.0;26.0;26.0;26.0;26.0;26.0;27.0
13;australia;28.216666666666665;27.69583333333334;25.433333333333334;21.47083333333333;17.445833333333333;14.279166666666663;13.524999999999999;14.966666666666663;18.137500000000003;21.041666666666664;23.962500000000002;26.825000000000003
14;austria;1.7578947368421047;4.273684210526316;9.031578947368423;13.489473684210527;18.96315789473684;21.54736842105263;23.747368421052627;23.526315789473685;19.34736842105263;13.74736842105263;6.4526315789473685;2.494736842105263
15;azerbaijan;2.8000000000000003;3.866666666666667;8.700000000000001;15.983333333333333;21.583333333333332;26.816666666666666;30.05;29.150000000000002;24.833333333333332;17.033333333333335;11.666666666666666;5.133333333333334
16;bahrain;18.45;20.55;23.45;28.45;33.45;36.05;37.4;37.4;36.05;32.4;27.4;22.1
17;bangladesh;25.26060606060606;27.951515151515146;31.833333333333332;33.372727272727275;32.97575757575758;31.657575757575753;30.809090909090912;30.996969696969696;31.363636363636363;31.181818181818183;29.05454545454545;26.233333333333334
18;barbados;28.314285714285717;28.47142857142857;29.400000000000002;29.557142857142857;30.485714285714288;30.485714285714288;29.071428571428573;29.37142857142857;29.214285714285715;30.32857142857143;29.557142857142857;29.242857142857144
19;belarus;-1.1642857142857146;-0.27142857142857135;4.950000000000001;12.835714285714287;19.235714285714288;21.928571428571427;23.45;23.171428571428574;17.750000000000004;11.65;4.235714285714286;0.32857142857142857
20;belgium;3.8679999999999994;4.956;8.484;11.807999999999998;16.172;19.080000000000002;20.887999999999998;21.1;17.887999999999998;13.408;7.908;5.236000000000001
21;belize;26.599999999999998;27.633333333333336;29.0;30.366666666666664;31.400000000000002;31.733333333333334;31.066666666666666;31.400000000000002;30.733333333333334;29.7;28.333333333333332;26.266666666666666
22;benin;33.355555555555554;34.86666666666667;34.68888888888889;33.7;32.34444444444444;30.466666666666665;28.933333333333337;28.71111111111111;29.555555555555557;31.133333333333333;33.0;32.96666666666667
23;bermuda;20.660000000000004;19.8;20.660000000000004;21.720000000000002;24.4;27.28;29.6;29.8;28.540000000000003;26.72;23.540000000000003;21.720000000000002
24;bhutan;13.922222222222222;15.56666666666667;18.62222222222222;21.711111111111112;24.37777777777778;25.955555555555556;22.85555555555556;26.177777777777777;24.88888888888889;22.855555555555558;19.322222222222223;15.722222222222221
25;bolivia;23.499999999999996;23.04285714285714;22.914285714285715;22.728571428571428;21.9;20.728571428571428;20.928571428571427;22.442857142857143;23.971428571428568;25.385714285714283;25.52857142857143;24.257142857142856
26;bosnia and herzegovina;2.8333333333333335;4.888888888888889;9.833333333333334;13.277777777777779;18.5;21.833333333333332;24.833333333333332;24.555555555555557;21.166666666666668;15.277777777777779;8.277777777777779;3.927777777777778
27;botswana;31.775000000000002;31.016666666666666;30.133333333333336;28.558333333333334;25.991666666666664;23.28333333333333;23.416666666666668;26.575000000000003;30.166666666666668;32.08333333333333;32.29166666666667;31.825000000000003
28;brazil;31.261538461538464;31.2974358974359;30.889743589743585;29.73589743589744;27.982051282051287;26.838461538461534;26.456410256410262;27.158974358974355;28.325641025641023;29.799999999999994;30.776923076923076;31.012820512820518
29;british indian ocean territory;30.0;30.0;30.0;31.0;30.0;29.0;28.0;28.0;29.0;29.0;30.0;30.0
30;british virgin islands;27.9;27.9;27.9;28.95;28.95;30.0;30.5;31.05;31.05;30.0;28.95;27.9
31;brunei;29.5;30.0;30.5;31.5;31.0;31.5;31.0;31.0;30.5;30.5;30.0;30.0
32;bulgaria;2.5588235294117645;4.341176470588236;8.335294117647058;13.829411764705881;18.65294117647059;22.752941176470593;25.394117647058824;25.352941176470587;22.06470588235294;16.13529411764706;9.105882352941176;4.570588235294117
33;burkina faso;31.5;34.77142857142857;36.82857142857143;37.51428571428572;36.042857142857144;33.028571428571425;30.37142857142857;29.642857142857142;31.12857142857143;34.214285714285715;34.6;31.985714285714288
34;burundi;24.88571428571429;25.02857142857143;24.62857142857143;24.771428571428572;24.714285714285715;25.057142857142857;25.342857142857138;26.128571428571426;27.0;26.05714285714286;24.728571428571428;24.642857142857142
35;cambodia;30.8125;32.075;33.4125;34.45;33.0875;31.775;31.15;31.025;30.475;29.925;30.0125;29.8875
36;cameroon;28.8;29.575;29.099999999999998;28.95;27.85;26.537499999999998;25.299999999999997;25.2625;26.325000000000003;26.5125;27.6;28.2375
37;canada;-4.878124999999999;-2.0531249999999996;2.8406250000000006;10.821874999999999;16.646875;20.318749999999998;23.3125;22.640625000000004;17.3375;10.640624999999998;1.0718750000000001;-3.7875
38;cape verde;24.514285714285712;24.357142857142858;24.842857142857145;24.671428571428574;25.657142857142855;26.75714285714286;27.914285714285715;28.7;28.642857142857142;28.614285714285717;27.4;25.685714285714287
39;cayman islands;27.475;27.475;28.5;28.75;30.025;30.8;31.2;31.2;30.8;30.3;28.75;27.975
40;central african republic;32.9;34.5;34.0;32.84;31.24;29.880000000000003;28.810000000000002;28.76;29.389999999999997;29.96;31.45;32.18
41;chad;33.2;35.225;38.675;40.55;40.325;38.075;35.0;33.325;34.85;36.475;35.15;33.2
42;channel islands;8.533333333333333;8.4;10.033333333333333;11.9;14.966666666666669;17.466666666666665;19.533333333333335;19.76666666666667;18.133333333333336;15.133333333333333;11.766666666666666;9.433333333333334
43;chile;22.964285714285715;23.021428571428572;21.12857142857143;18.34642857142857;15.471428571428572;13.314285714285715;12.935714285714285;13.985714285714286;15.603571428571428;17.525;19.55;21.635714285714283
44;china;3.0822784810126582;5.497468354430379;11.396202531645569;18.48860759493671;23.672151898734175;27.446835443037973;29.477215189873416;28.697468354430377;24.63164556962025;18.787341772151898;11.50886075949367;5.410126582278482
45;christmas island;27.45;28.05;28.15;28.15;27.45;27.0;26.2;26.05;26.1;26.5;27.2;27.4
46;cocos islands;29.166666666666668;29.599999999999998;29.633333333333336;29.2;28.733333333333334;28.133333333333336;27.3;27.333333333333332;28.03333333333333;28.2;28.3;29.099999999999998
47;colombia;29.152173913043477;29.3;29.44347826086956;29.17391304347826;28.769565217391307;28.71739130434782;29.09565217391304;29.365217391304352;29.300000000000004;28.91304347826087;28.83913043478261;28.891304347826093
48;comoros;29.199999999999996;29.299999999999994;29.6;29.52857142857143;28.714285714285715;27.4;27.014285714285716;27.400000000000002;28.057142857142857;28.72857142857143;29.45714285714286;29.557142857142857
49;cook islands;29.300000000000004;29.422222222222217;29.422222222222217;29.188888888888894;28.65555555555555;27.944444444444443;27.11111111111111;27.11111111111111;27.455555555555556;27.822222222222223;28.533333333333328;28.64444444444444
50;costa rica;28.790909090909096;29.713636363636365;30.64999999999999;30.918181818181814;30.036363636363635;29.30454545454546;28.90454545454546;29.050000000000008;29.159090909090914;28.64999999999999;28.263636363636373;28.39090909090909
51;cote d'ivoire;31.5;32.62222222222223;32.68888888888889;32.13333333333333;31.088888888888885;29.077777777777776;27.533333333333335;27.266666666666666;27.966666666666665;29.32222222222222;30.966666666666672;30.75555555555555
