;Country Name;Country Code;Year;Value
56;arab world;arb;2016;406452690.0
113;caribbean small states;css;2016;7245472.0
170;central europe and the baltics;ceb;2016;102974082.0
227;early-demographic dividend;ear;2016;3170542188.0
284;east asia & pacific;eas;2016;2296786207.0
341;east asia & pacific (excluding high income);eap;2016;2051431154.0
398;east asia & pacific (ida & ibrd countries);tea;2016;2026028438.0
455;euro area;emu;2016;340894606.0
512;europe & central asia;ecs;2016;911995305.0
569;europe & central asia (excluding high income);eca;2016;417424643.0
626;europe & central asia (ida & ibrd countries);tec;2016;455372659.0
683;european union;euu;2016;511497415.0
740;fragile and conflict affected situations;fcs;2016;505635987.0
797;heavily indebted poor countries (hipc);hpc;2016;744602976.0
854;high income;hic;2016;1190029421.0
911;ibrd only;ibd;2016;4697247117.0
968;ida & ibrd total;ibt;2016;6271593092.0
1025;ida blend;idb;2016;521159393.0
1082;ida only;idx;2016;1053186582.0
1139;ida total;ida;2016;1574345975.0
1196;late-demographic dividend;lte;2016;2262709895.0
1253;latin america & caribbean;lcn;2016;637664490.0
1310;latin america & caribbean (excluding high income);lac;2016;610136397.0
1367;latin america & the caribbean (ida & ibrd countries);tla;2016;621534921.0
1424;least developed countries: un classification;ldc;2016;979387925.0
1481;low & middle income;lmy;2016;6252106157.0
1538;low income;lic;2016;659272676.0
1595;lower middle income;lmc;2016;3012923806.0
1652;middle east & north africa;mea;2016;436720722.0
1709;middle east & north africa (excluding high income);mna;2016;373719055.0
1766;middle east & north africa (ida & ibrd countries);tmn;2016;369167489.0
1823;middle income;mic;2016;5592833481.0
1880;north america;nac;2016;359479269.0
1937;oecd members;oed;2016;1289937319.0
1994;other small states;oss;2016;29983809.0
2051;pacific island small states;pss;2016;2388875.0
2108;post-demographic dividend;pst;2016;1102730983.0
2165;pre-demographic dividend;pre;2016;879292453.0
2222;small states;sst;2016;39618156.0
2279;south asia;sas;2016;1766383450.0
2336;south asia (ida & ibrd);tsa;2016;1766383450.0
2393;sub-saharan africa;ssf;2016;1033106135.0
2450;sub-saharan africa (excluding high income);ssa;2016;1033011458.0
2507;sub-saharan africa (ida & ibrd countries);tss;2016;1033106135.0
2564;upper middle income;umc;2016;2579909675.0
